Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,8.723182,8.736203,8.488896,8.604666,8.604666,30564271220
2022-03-16,8.604318,8.887896,8.573496,8.887896,8.887896,40838121784
2022-03-17,8.887756,9.018545,8.837064,8.852032,8.852032,31368260104
2022-03-18,8.851135,9.066116,8.72501,9.060872,9.060872,31203633993
2022-03-19,9.058729,9.460871,9.001978,9.384622,9.384622,47700712620
2022-03-20,9.385402,9.411252,8.961047,9.052564,9.052564,32525257963
2022-03-21,9.05194,9.247086,9.002774,9.106477,9.106477,33536054449
2022-03-22,9.105961,9.532359,9.079716,9.321083,9.321083,46460900700
2022-03-23,9.321488,9.999539,9.238547,9.930844,9.930844,76469280848
2022-03-24,9.930443,10.739744,9.833593,10.422004,10.422004,154015751183
2022-03-25,10.426035,10.469534,9.821483,9.993502,9.993502,67314869328
2022-03-26,9.993294,10.411543,9.906936,10.363656,10.363656,46560029996
2022-03-27,10.366168,11.049599,10.351078,11.039941,11.039941,110224289939
2022-03-28,11.039457,11.617879,10.831566,10.846824,10.846824,112292973800
2022-03-29,10.8392,11.252318,10.684524,10.931573,10.931573,72721579503
2022-03-30,10.930577,11.01131,10.585501,10.859339,10.859339,67055135717
2022-03-31,10.857348,11.143519,10.412686,10.462301,10.462301,80094866531
2022-04-01,10.469559,10.815354,10.111233,10.733417,10.733417,66651563906
2022-04-02,10.733005,10.948566,10.548715,10.551074,10.551074,51832046850
2022-04-03,10.550322,11.283627,10.412439,11.129713,11.129713,79597139959
2022-04-04,11.126696,11.728169,10.722928,11.213658,11.213658,170064826898
2022-04-05,11.215404,13.418162,11.150011,13.045961,13.045961,394630228625
2022-04-06,13.014141,13.090494,10.882273,10.891826,10.891826,283203835285
2022-04-07,10.89303,11.244702,10.731982,11.091113,11.091113,107857122664
2022-04-08,11.091385,11.575049,10.750562,10.821935,10.821935,127829934399
2022-04-09,10.821558,10.967229,10.735986,10.95516,10.95516,39780573296
2022-04-10,10.955212,11.916913,10.92174,11.352344,11.352344,146659773591
